"id","ServiceName","ServiceDescription","ServicePrice","ServiceType","Time","Guarantee"
"1","Рекомендации по работе на компьютере","Рекомендации по безопасной работе в сети Интернет","2,000.00","Рекомендации","3","0"
"2","Рекомендации по работе на смартфоне","Рекомендации по безопасной работе в сети Интернет","2,000.00","Рекомендации","3","0"
"3","Рекомендации по работе на планшете","Рекомендации по безопасной работе в сети Интернет","2,000.00","Рекомендации","3","0"
"4","Рекомендации по созданию и хранению безопасных паролей","Подбор рекомендаций с учётом ситуации","2,000.00","Рекомендации","3","0"
"5","Рекомендации по обновлению железа","Подбор рекомендаций с учётом ситуации","2,000.00","Рекомендации","3","0"
"6","Диагностика на наличие угроз и вредоносных программ","Проводим диагностику ","5,000.00","Безопасность","5","30"
"7","Диагностика драйверов устройств","Проводим диагностику драйверов","5,000.00","Безопасность","5","30"
"8","Диагностика параметров безопасности ПК","Проводим диагностику ","5,000.00","Безопасность","5","30"
"9","Диагностика носителей информации","Проводим диагностику ","5,000.00","Безопасность","5","30"
"10","Установка и обновление системного программного обеспечения","Проводим установку и обновление","7,000.00","IT-аутсорсинг","7","30"
"11","Установка и обновление комплекта прикладных приложений","Проводим установку и обновление","7,000.00","IT-аутсорсинг","7","30"
"12","Удаление угроз и восстановление работоспособности смартфона","Обеспечиваем восстановление работоспособности смартфонов","6,000.00","Безопасность","7","30"
"13","Удаление угроз и восстановление работоспособности планшета","Обеспечиваем восстановление работоспособности планшетов","6,000.00","Безопасность","7","30"
"14","Установка и обновление Android","Обновления для смартфонов Android","6,000.00","IT-аутсорсинг","7","30"
"15","Антивирусная корпоративная защита персональных компьютеров","Оградит предприятие от проникновения в сеть вредоносных программ.","15,000.00","Безопасность","10","60"
"16","Антивирусная защита файловых серверов"," Благодаря этому у пользователей не будет возможности открыть зараженное содержимое письма или перейти по фишинговой ссылке. ","20,000.00","Безопасность","14","60"
"17","Антивирусная защита почтовых серверов"," Благодаря этому у пользователей не будет возможности открыть зараженное содержимое письма или перейти по фишинговой ссылке. ","20,000.00","Безопасность","14","60"
"18","Единая консоль управления и мониторинга","Предоставляет удобный способ контроля всех элементов защиты.","25,000.00","Безопасность","14","60"
"19","Защита компании от вирусов на уровне шлюза","В этом случае весь трафик, проходящий через сервер, в автоматическом режиме проверяется на наличие вирусов. Такая защита не гарантирует абсолютной безопасности, но значительно повышает уровень защищенности сети компании.","20,000.00","Безопасность","14","60"
"20","Консультационная поддержка пользователей ","Проведение консультаций","5,500.00","Рекомендации","3","0"
"21","Системная и техническая поддержка оборудования и программного обеспечения рабочих мест ","Обеспечение поддержки","11,000.00","IT-аутсорсинг","14","60"
"22","Техническая поддержка серверного и сетевого оборудования","Обеспечение поддержки","10,000.00","IT-аутсорсинг","14","60"
"23","Комплексная техническая поддержка и сопровождение ИТ-инфраструктуры предприятия","Обеспечение поддержки","18,000.00","IT-аутсорсинг","14","180"
